,NeighborhoodBogota,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,CHAPINERO,4.6569,-74.0467,Bandido Bistro,4.661514382070441,-74.0503069564453,French Restaurant
1,CHAPINERO,4.6569,-74.0467,Quebrada La Vieja,4.650832532720232,-74.0495109454226,Scenic Lookout
2,CHAPINERO,4.6569,-74.0467,El Caracol Azul,4.6561212787781265,-74.0532026967261,Peruvian Restaurant
3,CHAPINERO,4.6569,-74.0467,Harry Sasson,4.65902079525152,-74.05452478254735,Restaurant
4,CHAPINERO,4.6569,-74.0467,Brot Bakery & Cafe,4.6632571201533874,-74.05057819174071,Bakery
5,CHAPINERO,4.6569,-74.0467,La Cesta,4.6637094644948185,-74.05132736581164,Breakfast Spot
6,CHAPINERO,4.6569,-74.0467,JW Marriott Hotel Bogota,4.656988372700185,-74.05556291341782,Hotel
7,CHAPINERO,4.6569,-74.0467,Hilton,4.655634813275068,-74.0551451548483,Hotel
8,CHAPINERO,4.6569,-74.0467,Ciclovía,4.660855267989427,-74.05107144307246,Bike Rental / Bike Share
9,CHAPINERO,4.6569,-74.0467,Al Agua Patos,4.654263146428904,-74.05396508125865,Breakfast Spot
10,CHAPINERO,4.6569,-74.0467,Bogotá Beer Company,4.6541628697831845,-74.05373584292894,Pub
11,CHAPINERO,4.6569,-74.0467,Home Burgers,4.653087259815611,-74.05428190736637,Burger Joint
12,CHAPINERO,4.6569,-74.0467,The Artisan DC Hotel,4.653638,-74.054505,Hotel
13,CHAPINERO,4.6569,-74.0467,Boutique Hotel Bh La Quinta,4.656391798875941,-74.05284490000426,Hotel
14,CHAPINERO,4.6569,-74.0467,Osaki,4.653787276063438,-74.05461905719416,Sushi Restaurant
15,CHAPINERO,4.6569,-74.0467,Cerros Orientales Bogotá,4.65356232146945,-74.04971174547197,Trail
16,CHAPINERO,4.6569,-74.0467,La Divina Comedia Trattoria,4.6536495333152,-74.05500319906139,Italian Restaurant
17,CHAPINERO,4.6569,-74.0467,Sipote Burrito,4.653392484930023,-74.05431611126725,Burrito Place
18,CHAPINERO,4.6569,-74.0467,Tornamesa G,4.651851703611042,-74.05525155578576,Bookstore
19,CHAPINERO,4.6569,-74.0467,Masa 81,4.664064315717395,-74.05159143784678,Bakery
20,CHAPINERO,4.6569,-74.0467,San Giorgio Trattoria,4.663629262549114,-74.0515058402944,Italian Restaurant
21,CHAPINERO,4.6569,-74.0467,Juan Valdez Café,4.65227237759962,-74.05585815605255,Coffee Shop
22,CHAPINERO,4.6569,-74.0467,Castillo del Mono Osorio,4.65516782977714,-74.05152169835969,Castle
23,CHAPINERO,4.6569,-74.0467,Jockey Club,4.654410113228257,-74.0522734254733,Restaurant
24,CHAPINERO,4.6569,-74.0467,Masa 70,4.6518115821278085,-74.05500986436155,Bakery
25,CHAPINERO,4.6569,-74.0467,Four Seasons Hotel Casa Medina Bogotá,4.65245608896089,-74.05658168977985,Hotel
26,CHAPINERO,4.6569,-74.0467,Club Colombia,4.665368243156612,-74.05096088829073,Latin American Restaurant
27,CHAPINERO,4.6569,-74.0467,Tornamesa,4.657127138553646,-74.05739760083158,Bookstore
28,CHAPINERO,4.6569,-74.0467,Criterión,4.651834296490814,-74.0559240314272,French Restaurant
29,CHAPINERO,4.6569,-74.0467,Bodytech Cabrera,4.665278251539169,-74.04706472743341,Gym
30,CHAPINERO,4.6569,-74.0467,Café Quindío,4.6608947650011325,-74.05636301827387,Café
31,CHAPINERO,4.6569,-74.0467,Libertario Coffee,4.652848,-74.054909,Coffee Shop
32,CHAPINERO,4.6569,-74.0467,Home Burgers,4.664345404452839,-74.05152350664139,Burger Joint
33,CHAPINERO,4.6569,-74.0467,Bagatelle,4.652736399580369,-74.05433813987516,Bakery
34,CHAPINERO,4.6569,-74.0467,Starbucks,4.651548236807173,-74.05532920854186,Coffee Shop
35,CHAPINERO,4.6569,-74.0467,El Cielo,4.6514001250482755,-74.0546897824982,Latin American Restaurant
36,CHAPINERO,4.6569,-74.0467,evolation yoga - Hot Yoga - Bikram Yoga,4.663023663789876,-74.05141939786428,Yoga Studio
37,CHAPINERO,4.6569,-74.0467,Crepes & Waffles - Artesano,4.652392574801694,-74.0546384089213,Restaurant
38,CHAPINERO,4.6569,-74.0467,Siuka Pastelería,4.662410549784114,-74.05237104965285,Café
39,CHAPINERO,4.6569,-74.0467,Eric Kayser Colombia,4.664503122208143,-74.05278658919431,Bakery
40,CHAPINERO,4.6569,-74.0467,Vitto,4.650835853975315,-74.05564277215504,Bistro
41,CHAPINERO,4.6569,-74.0467,Amor Perfecto,4.648939125038759,-74.05545014129005,Coffee Shop
42,CHAPINERO,4.6569,-74.0467,Hotel Cityflats,4.6635834102516105,-74.0505107679074,Hotel
43,CHAPINERO,4.6569,-74.0467,Bagatelle,4.664706753248518,-74.05128218036977,Bakery
44,CHAPINERO,4.6569,-74.0467,Andrés D.C.,4.666376037870644,-74.05442894220697,Steakhouse
45,CHAPINERO,4.6569,-74.0467,Bistecca e Vino,4.651035081109635,-74.05793086537695,Italian Restaurant
46,CHAPINERO,4.6569,-74.0467,Fulanitos,4.664941227963346,-74.05328038536754,Caribbean Restaurant
47,CHAPINERO,4.6569,-74.0467,Gun Club,4.663901266844017,-74.04964248995317,Historic Site
48,CHAPINERO,4.6569,-74.0467,Centro Comercial Andino,4.666714547946073,-74.05309177776574,Shopping Mall
49,CHAPINERO,4.6569,-74.0467,Carulla,4.654598328600338,-74.05362090900847,Supermarket
50,TUNJUELITO,4.5875,-74.1407,Country's Pizza,4.590904438069094,-74.13851327204105,Fast Food Restaurant
51,TUNJUELITO,4.5875,-74.1407,Papa John's,4.591625791940824,-74.12466420179693,Pizza Place
52,TUNJUELITO,4.5875,-74.1407,Tamales El Gordo,4.586183182646519,-74.12854351428504,Cajun / Creole Restaurant
53,TUNJUELITO,4.5875,-74.1407,Hamburguesas El Corral,4.596885833018226,-74.15546974478832,Burger Joint
54,TUNJUELITO,4.5875,-74.1407,Buffalo Wings,4.591667309642327,-74.12389856598912,Wings Joint
55,TUNJUELITO,4.5875,-74.1407,Bodytech Centro Mayor,4.591571431764492,-74.12361165404359,Gym / Fitness Center
56,TUNJUELITO,4.5875,-74.1407,Crepes & Waffles,4.593221632664357,-74.12397643045296,French Restaurant
57,TUNJUELITO,4.5875,-74.1407,Joshua Cafe Bar,4.591368599215866,-74.1238531803941,Bar
58,TUNJUELITO,4.5875,-74.1407,Salsamentaria San Juan,4.579954076698655,-74.12681760289922,Burger Joint
59,TUNJUELITO,4.5875,-74.1407,City Park CentroMayor,4.593077255289425,-74.12368916911527,Arcade
60,TUNJUELITO,4.5875,-74.1407,KFC Centro Mayor,4.593073935449242,-74.12382773666472,Fried Chicken Joint
61,TUNJUELITO,4.5875,-74.1407,Cinemark,4.5822325,-74.15673,Movie Theater
62,TUNJUELITO,4.5875,-74.1407,CREPES & WAFFLES - Heladería,4.59316509377699,-74.12409061097758,Ice Cream Shop
63,TUNJUELITO,4.5875,-74.1407,Bogotá Beer Company,4.591193338231392,-74.12392055687195,Bar
64,TUNJUELITO,4.5875,-74.1407,Lezzapan,4.593205351056264,-74.15772967054032,Pizza Place
65,TUNJUELITO,4.5875,-74.1407,Parque Timiza,4.609021425058681,-74.15397047996521,Park
66,TUNJUELITO,4.5875,-74.1407,Parque Villa Mayor,4.592017536819062,-74.12047505378723,Park
67,TUNJUELITO,4.5875,-74.1407,Parque Villa Del Río,4.602971234365273,-74.15494170535676,Park
68,TUNJUELITO,4.5875,-74.1407,Cine Colombia,4.590856427963277,-74.12404130041187,Multiplex
69,TUNJUELITO,4.5875,-74.1407,Al Chile Comida Mexicana.,4.581355828546837,-74.11576338358931,Mexican Restaurant
70,TUNJUELITO,4.5875,-74.1407,La Poche Pescaderia,4.61206854353066,-74.13515846076845,Seafood Restaurant
71,TUNJUELITO,4.5875,-74.1407,Pizza Paisa,4.596212656855897,-74.13120745873397,Pizza Place
72,TUNJUELITO,4.5875,-74.1407,La Villa Del Pollo,4.599638450198054,-74.16099017735398,Fried Chicken Joint
73,TUNJUELITO,4.5875,-74.1407,Sopas de Mamá y Postres de la Abuela,4.5917412002929385,-74.12435773237902,Latin American Restaurant
74,TUNJUELITO,4.5875,-74.1407,adidas,4.5911417,-74.1247278,Sporting Goods Shop
75,TUNJUELITO,4.5875,-74.1407,Parque Metropolitano El Tunal,4.571804840655415,-74.13441181182861,Park
76,TUNJUELITO,4.5875,-74.1407,Sandwich Qbano Centro Mayor,4.591020439499561,-74.12450535197205,Sandwich Place
77,TUNJUELITO,4.5875,-74.1407,Alkosto,4.595985147049837,-74.13934707641602,Department Store
78,TUNJUELITO,4.5875,-74.1407,Dunkin' Donuts,4.5930349703692315,-74.1243142710703,Donut Shop
79,TUNJUELITO,4.5875,-74.1407,El Carnal,4.591044520427467,-74.12447398102509,Mexican Restaurant
80,TUNJUELITO,4.5875,-74.1407,Adidas Performance Store,4.6116118168045706,-74.1407095478004,Sporting Goods Shop
81,TUNJUELITO,4.5875,-74.1407,Farmatodo,4.5900515,-74.1237776,Pharmacy
82,TUNJUELITO,4.5875,-74.1407,Quiroga,4.579048431324581,-74.11609028585781,Neighborhood
83,TUNJUELITO,4.5875,-74.1407,Centro Mayor,4.591890850594393,-74.12402179243375,Shopping Mall
84,TUNJUELITO,4.5875,-74.1407,Plazoleta De Comidas Centro Mayor,4.591260950240576,-74.12450078460687,Food Court
85,TUNJUELITO,4.5875,-74.1407,McDonald's,4.57832965192537,-74.13041033937334,Fast Food Restaurant
86,TUNJUELITO,4.5875,-74.1407,Homecenter y Constructor Av 68 Sur,4.604001873390265,-74.13297946010061,Furniture / Home Store
87,TUNJUELITO,4.5875,-74.1407,Farmatodo,4.5920951,-74.1239914,Pharmacy
88,TUNJUELITO,4.5875,-74.1407,Hamburguesas Del Rodeo C.C. Centro Mayor,4.59321799136565,-74.12372357845149,Burger Joint
89,TUNJUELITO,4.5875,-74.1407,Juan Valdez Café,4.591603751659312,-74.12427215559484,Coffee Shop
90,TUNJUELITO,4.5875,-74.1407,Olímpica Venecia,4.593483649467782,-74.13838137998505,Department Store
91,TUNJUELITO,4.5875,-74.1407,Mi Lindo Ranchito,4.611682212964724,-74.13233896824521,Restaurant
92,TUNJUELITO,4.5875,-74.1407,Bogotá Beer Company,4.591461427961044,-74.12426233291626,Bar
93,TUNJUELITO,4.5875,-74.1407,KFC,4.578355014214516,-74.13042180874075,Fast Food Restaurant
94,TUNJUELITO,4.5875,-74.1407,Don Jediondo - Centro Mayor,4.591520309448242,-74.12462615966797,Cajun / Creole Restaurant
95,TUNJUELITO,4.5875,-74.1407,Makro,4.596530558050673,-74.15329456329346,Warehouse Store
96,TUNJUELITO,4.5875,-74.1407,Ktronix,4.590120792249022,-74.12408831701241,Electronics Store
97,TUNJUELITO,4.5875,-74.1407,Subway,4.591461616912958,-74.12382690360813,Sandwich Place
98,TUNJUELITO,4.5875,-74.1407,Casa Del Kumis,4.59116577309634,-74.12392429945336,Breakfast Spot
99,TUNJUELITO,4.5875,-74.1407,Mis Carnes Parrilla,4.591352162269662,-74.12456053947523,BBQ Joint
100,ANTONIO NARIÑO,4.589768,-74.09906,Pasteleria Guernika,4.586891048300204,-74.10022794127197,Pie Shop
101,ANTONIO NARIÑO,4.589768,-74.09906,Belleza Profesional cosméticos y capilares,4.5855090939569045,-74.09938567665176,Salon / Barbershop
102,ANTONIO NARIÑO,4.589768,-74.09906,Sandwich Qbano Restrepo,4.584439689552816,-74.09970317831421,Sandwich Place
103,ANTONIO NARIÑO,4.589768,-74.09906,sport body,4.587048455328018,-74.09981159106508,Gym
104,ANTONIO NARIÑO,4.589768,-74.09906,Panadería Kuty,4.59970810254545,-74.09492403880748,Bakery
105,ANTONIO NARIÑO,4.589768,-74.09906,Wenbrulee,4.585942121458626,-74.09984623580628,Restaurant
106,ANTONIO NARIÑO,4.589768,-74.09906,Kokoriko,4.586530064512324,-74.1002820582154,Fried Chicken Joint
107,ANTONIO NARIÑO,4.589768,-74.09906,Bar Pescadero Del Restrepo,4.587760644947771,-74.10726946002409,Seafood Restaurant
108,ANTONIO NARIÑO,4.589768,-74.09906,Boliche Escape,4.584408948531262,-74.10150530247026,Bowling Alley
109,ANTONIO NARIÑO,4.589768,-74.09906,moffis,4.599558634468616,-74.09871638105602,Café
110,ANTONIO NARIÑO,4.589768,-74.09906,El merengon,4.588485580942965,-74.10078261949747,Deli / Bodega
111,ANTONIO NARIÑO,4.589768,-74.09906,BogoShake Factory - Fábrica de Malteadas,4.599089384549184,-74.10749551481834,Smoothie Shop
112,ANTONIO NARIÑO,4.589768,-74.09906,Postreria Almibar,4.573019914423601,-74.10075387072071,Dessert Shop
113,ANTONIO NARIÑO,4.589768,-74.09906,"Autenticos  Tamales Tolimenses ""Donde Carlos""",4.577050620024722,-74.10825594488291,Food Truck
114,ANTONIO NARIÑO,4.589768,-74.09906,El imperio del Pacifico,4.583197344845602,-74.10343244347999,Seafood Restaurant
115,ANTONIO NARIÑO,4.589768,-74.09906,Farmatodo,4.585889000102238,-74.10245740436747,Convenience Store
116,ANTONIO NARIÑO,4.589768,-74.09906,La Parrilla de Gus,4.582726949492712,-74.09706018463002,BBQ Joint
117,ANTONIO NARIÑO,4.589768,-74.09906,Asadero Don Roque,4.589817,-74.08156,Fried Chicken Joint
118,ANTONIO NARIÑO,4.589768,-74.09906,Domino's Pizza,4.602982825216387,-74.10146407011216,Pizza Place
119,ANTONIO NARIÑO,4.589768,-74.09906,Velodromo Primero de Mayo,4.572940989170565,-74.08884647770863,Park
120,ANTONIO NARIÑO,4.589768,-74.09906,Subway,4.584644,-74.101163,Sandwich Place
121,ANTONIO NARIÑO,4.589768,-74.09906,Pizza express,4.597552254997017,-74.0990328466544,Pizza Place
122,ANTONIO NARIÑO,4.589768,-74.09906,Pin o Cho,4.598236923790504,-74.10018540481104,Burger Joint
123,ANTONIO NARIÑO,4.589768,-74.09906,El Fogón Llanero,4.604273203663093,-74.09546317992564,Steakhouse
124,ANTONIO NARIÑO,4.589768,-74.09906,Viva la Pizza,4.585452735859928,-74.10066089748031,Pizza Place
125,ANTONIO NARIÑO,4.589768,-74.09906,Fragola,4.5976664994985645,-74.09908637930965,Pizza Place
126,ANTONIO NARIÑO,4.589768,-74.09906,Farmatodo,4.6031361,-74.1011857,Pharmacy
127,ANTONIO NARIÑO,4.589768,-74.09906,Al Chile Comida Mexicana.,4.581355828546837,-74.11576338358931,Mexican Restaurant
128,ANTONIO NARIÑO,4.589768,-74.09906,Teatro Colón,4.596540220706766,-74.0745383164652,Theater
129,ANTONIO NARIÑO,4.589768,-74.09906,Parque Ciudad Jardín Sur,4.582598818224694,-74.09196107495345,Park
130,ANTONIO NARIÑO,4.589768,-74.09906,El Viejo Rancho Tolimense,4.610749872265807,-74.09328313918797,Latin American Restaurant
131,ANTONIO NARIÑO,4.589768,-74.09906,Museo de Arte del Banco de la República,4.596319243565792,-74.07341804246981,Art Museum
132,ANTONIO NARIÑO,4.589768,-74.09906,Gaudi,4.603462,-74.098501375,Spanish Restaurant
133,ANTONIO NARIÑO,4.589768,-74.09906,Museo Botero,4.596704846677457,-74.07316480698015,Art Museum
134,ANTONIO NARIÑO,4.589768,-74.09906,Bosque San Carlos,4.574397031602281,-74.10578398758129,Park
135,ANTONIO NARIÑO,4.589768,-74.09906,Centro Cultural Gabriel García Márquez,4.597693839626869,-74.07428510390115,Cultural Center
136,ANTONIO NARIÑO,4.589768,-74.09906,Pasaje Rivas,4.599417981224898,-74.07803583893877,Arts & Crafts Store
137,ANTONIO NARIÑO,4.589768,-74.09906,Parque Ciudad Montes,4.602690465069198,-74.11552906036377,Park
138,ANTONIO NARIÑO,4.589768,-74.09906,La Barra Del Negro,4.579702,-74.094555,Burger Joint
139,ANTONIO NARIÑO,4.589768,-74.09906,Restaurante León,4.6145095166318315,-74.10373111578258,South American Restaurant
140,ANTONIO NARIÑO,4.589768,-74.09906,Arte y Pasión Café,4.598503776405138,-74.07750529525691,Café
141,ANTONIO NARIÑO,4.589768,-74.09906,Buffalo Wings,4.591667309642327,-74.12389856598912,Wings Joint
142,ANTONIO NARIÑO,4.589768,-74.09906,Papa John's,4.591625791940824,-74.12466420179693,Pizza Place
143,ANTONIO NARIÑO,4.589768,-74.09906,Pescaderia Mar Y Mar,4.6142572877912915,-74.10232956285506,Seafood Restaurant
144,ANTONIO NARIÑO,4.589768,-74.09906,Maria Tomasa - Cocina Caribe - Sede Museo,4.594956500833906,-74.07651106456801,Caribbean Restaurant
145,ANTONIO NARIÑO,4.589768,-74.09906,Cafe Rec,4.59449985001117,-74.07625277023705,Café
146,ANTONIO NARIÑO,4.589768,-74.09906,Juan Valdez Café,4.59778238461655,-74.074299406049,Coffee Shop
147,ANTONIO NARIÑO,4.589768,-74.09906,Museo Iglesia Santa Clara,4.596909878138206,-74.0773530495139,History Museum
148,ANTONIO NARIÑO,4.589768,-74.09906,Brasas y Pollos,4.602680338541254,-74.11184540900605,Restaurant
149,ANTONIO NARIÑO,4.589768,-74.09906,Bodytech Centro Mayor,4.591571431764492,-74.12361165404359,Gym / Fitness Center
150,PUENTE ARANDA,4.6149,-74.1227,Hornitos Panadería Pastelería,4.620116595789872,-74.11915231512401,Bakery
151,PUENTE ARANDA,4.6149,-74.1227,Bogotá Beer Company,4.618572142222209,-74.1344932960699,Brewery
152,PUENTE ARANDA,4.6149,-74.1227,Asadero Los Tronquitos,4.6151162982382,-74.11527589667809,BBQ Joint
153,PUENTE ARANDA,4.6149,-74.1227,Juan Valdez Café,4.6180684924142,-74.13529638372107,Coffee Shop
154,PUENTE ARANDA,4.6149,-74.1227,Don Chucho - Gallina Dorada a la Brasa,4.620184926050627,-74.12207192317987,Restaurant
155,PUENTE ARANDA,4.6149,-74.1227,Canterbury Café,4.619729357729142,-74.13745092392415,Cocktail Bar
156,PUENTE ARANDA,4.6149,-74.1227,Resturante El Carnal,4.619656501096342,-74.13510116231876,Mexican Restaurant
157,PUENTE ARANDA,4.6149,-74.1227,IMAX Procinal,4.619551843838605,-74.13540283634656,Movie Theater
158,PUENTE ARANDA,4.6149,-74.1227,Albondigas Del Paisa,4.615598406441243,-74.11042501201335,Latin American Restaurant
159,PUENTE ARANDA,4.6149,-74.1227,La Biferia,4.631957386333563,-74.11513972942217,Steakhouse
160,PUENTE ARANDA,4.6149,-74.1227,Plaza Central Centro Comercial,4.631885131344252,-74.11542177200317,Shopping Mall
161,PUENTE ARANDA,4.6149,-74.1227,La Poche Pescaderia,4.61206854353066,-74.13515846076845,Seafood Restaurant
162,PUENTE ARANDA,4.6149,-74.1227,Parque Ciudad Montes,4.602690465069198,-74.11552906036377,Park
163,PUENTE ARANDA,4.6149,-74.1227,Mercado Zapatoca,4.617209519614142,-74.12164301299686,Grocery Store
164,PUENTE ARANDA,4.6149,-74.1227,Sandwich Qbano Plaza de las Américas,4.619497845258063,-74.13517547323772,Sandwich Place
165,PUENTE ARANDA,4.6149,-74.1227,El Corral,4.619741132348266,-74.13514012872452,Burger Joint
166,PUENTE ARANDA,4.6149,-74.1227,Pepe ganga,4.61807077933419,-74.1342129174273,Toy / Game Store
167,PUENTE ARANDA,4.6149,-74.1227,Restaurante León,4.6145095166318315,-74.10373111578258,South American Restaurant
168,PUENTE ARANDA,4.6149,-74.1227,El Chingon Comida Mexicana,4.606432491938281,-74.11609776199086,Mexican Restaurant
169,PUENTE ARANDA,4.6149,-74.1227,Don Benítez,4.631840447954564,-74.11530565584721,Mexican Restaurant
170,PUENTE ARANDA,4.6149,-74.1227,Piquetadero Don Pascual,4.623939941860876,-74.11800368288024,Restaurant
171,PUENTE ARANDA,4.6149,-74.1227,Piqueteadero Donde Manuel,4.615594514389058,-74.13306264202579,BBQ Joint
172,PUENTE ARANDA,4.6149,-74.1227,Crepes & Waffles,4.619374775491387,-74.1354109168324,French Restaurant
173,PUENTE ARANDA,4.6149,-74.1227,Parque Primavera,4.61371212574957,-74.10879210451782,Park
174,PUENTE ARANDA,4.6149,-74.1227,Buffalo Wings,4.631785395520544,-74.11577807830791,Wings Joint
175,PUENTE ARANDA,4.6149,-74.1227,Donde Charles,4.634383136800948,-74.12785279273373,South American Restaurant
176,PUENTE ARANDA,4.6149,-74.1227,Crepes & Waffles Plaza Central,4.631612,-74.116012,Creperie
177,PUENTE ARANDA,4.6149,-74.1227,WOK,4.631750245121041,-74.11543788167975,Asian Restaurant
178,PUENTE ARANDA,4.6149,-74.1227,Cine Colombia,4.632053071467045,-74.11546979738742,Multiplex
179,PUENTE ARANDA,4.6149,-74.1227,Pescaderia Mar Y Mar,4.6142572877912915,-74.10232956285506,Seafood Restaurant
180,PUENTE ARANDA,4.6149,-74.1227,"Juan Valdez Café, Amerícas  Out",4.629815036426151,-74.11768100821996,Café
181,PUENTE ARANDA,4.6149,-74.1227,Pescaderia Marineros,4.614158208300813,-74.10229637358282,Seafood Restaurant
182,PUENTE ARANDA,4.6149,-74.1227,Farmatodo,4.6318599,-74.1155263,Pharmacy
183,PUENTE ARANDA,4.6149,-74.1227,Papa John's,4.591625791940824,-74.12466420179693,Pizza Place
184,PUENTE ARANDA,4.6149,-74.1227,Del Rodeo,4.617470909852757,-74.13637672997761,Burger Joint
185,PUENTE ARANDA,4.6149,-74.1227,Buffalo Wings,4.591667309642327,-74.12389856598912,Wings Joint
186,PUENTE ARANDA,4.6149,-74.1227,Brasas y Pollos,4.602680338541254,-74.11184540900605,Restaurant
187,PUENTE ARANDA,4.6149,-74.1227,Mr. Dog,4.61945395650178,-74.13750071011707,Hot Dog Joint
188,PUENTE ARANDA,4.6149,-74.1227,Bodytech Centro Mayor,4.591571431764492,-74.12361165404359,Gym / Fitness Center
189,PUENTE ARANDA,4.6149,-74.1227,BogoShake Factory - Fábrica de Malteadas,4.599089384549184,-74.10749551481834,Smoothie Shop
190,PUENTE ARANDA,4.6149,-74.1227,Club Deportivo Bavaria,4.633114212279791,-74.13498082655356,Sports Club
191,PUENTE ARANDA,4.6149,-74.1227,Falabella,4.633061389383339,-74.11398056818767,Department Store
192,PUENTE ARANDA,4.6149,-74.1227,Fantasías Del Mar,4.625800505961836,-74.1474542177538,Caribbean Restaurant
193,PUENTE ARANDA,4.6149,-74.1227,Crepes & Waffles,4.593221632664357,-74.12397643045296,French Restaurant
194,PUENTE ARANDA,4.6149,-74.1227,City Park CentroMayor,4.593077255289425,-74.12368916911527,Arcade
195,PUENTE ARANDA,4.6149,-74.1227,La Bonne Crepee,4.6071829204610975,-74.11724695219858,Creperie
196,PUENTE ARANDA,4.6149,-74.1227,Sandwich Qbano Mundo Aventura,4.620537780387442,-74.1373029323083,Sandwich Place
197,PUENTE ARANDA,4.6149,-74.1227,la berraquera,4.627094324778419,-74.14623291653741,Burger Joint
198,PUENTE ARANDA,4.6149,-74.1227,Teriyaki Plaza Central,4.631553,-74.116258,Japanese Restaurant
199,PUENTE ARANDA,4.6149,-74.1227,Azuki Manga,4.6210883412475985,-74.13785266392195,Japanese Restaurant
200,USAQUÉN,4.730458,-74.035666,Chopinar,4.724495660627525,-74.03249566472843,Buffet
201,USAQUÉN,4.730458,-74.035666,Harvey,4.72691051201831,-74.0357213800509,Fast Food Restaurant
202,USAQUÉN,4.730458,-74.035666,Da Quei Matti,4.72882880056242,-74.04109138714085,Italian Restaurant
203,USAQUÉN,4.730458,-74.035666,D1 calle 147,4.727946756487847,-74.0292344933041,Supermarket
204,USAQUÉN,4.730458,-74.035666,El Kiosco golosinas,4.7226577,-74.034035,Snack Place
